timestamp,symbol,exchange,direction,quantity,price,product,stop_loss,target,risk_reward,regime,composite_signal,agreement,value,pct_of_capital,status,order_id
2026-03-17T09:52:19.259164+05:30,BPCL,NSE,SELL,16,0,MIS,327.84,260.37,1.5,Bear,-0.4622,0.75,4813.6,0.0481,paper,PAPER-20260317095219
2026-03-17T09:52:27.597152+05:30,BAJAJFINSV,NSE,SELL,2,0,MIS,1864.37,1613.19,1.5,Bear,-0.4152,0.62,3527.8,0.0353,paper,PAPER-20260317095227
2026-03-17T09:57:36.386200+05:30,TCS,NSE,SELL,2,0,MIS,2485.8,2199.8,1.5,Bear,-0.5945,0.75,4742.8,0.0474,paper,PAPER-20260317095736
2026-03-17T09:57:38.178741+05:30,INFY,NSE,SELL,4,0,MIS,1292.33,1133.76,1.5,Bear,-0.4787,0.62,4915.6,0.0492,paper,PAPER-20260317095738
2026-03-17T09:57:43.372393+05:30,HCLTECH,NSE,SELL,3,0,MIS,1376.93,1206.61,1.5,Bear,-0.4692,0.62,3926.4,0.0393,paper,PAPER-20260317095743
2026-03-17T09:57:50.145740+05:30,WIPRO,NSE,SELL,26,0,MIS,201.06,175.66,1.5,Bear,-0.4971,0.62,4963.4,0.0496,paper,PAPER-20260317095750
2026-03-17T09:57:57.507635+05:30,TECHM,NSE,SELL,3,0,MIS,1397.9,1214.9,1.5,Bear,-0.5315,0.62,3974.1,0.0397,paper,PAPER-20260317095757
2026-03-17T09:57:59.997023+05:30,CIPLA,NSE,SELL,3,0,MIS,1343.14,1218.04,1.5,Bear,-0.4018,0.75,3879.3,0.0388,paper,PAPER-20260317095759
2026-03-17T09:58:02.673120+05:30,BPCL,NSE,SELL,16,0,MIS,327.54,260.07,1.5,Bear,-0.4632,0.75,4808.8,0.0481,paper,PAPER-20260317095802
2026-03-17T09:58:12.060146+05:30,BAJAJFINSV,NSE,SELL,2,0,MIS,1862.77,1611.59,1.5,Bear,-0.4166,0.62,3524.6,0.0352,paper,PAPER-20260317095812
2026-03-17T10:03:19.905921+05:30,TCS,NSE,SELL,2,0,MIS,2492.5,2206.5,1.5,Bear,-0.5922,0.75,4756.2,0.0476,paper,PAPER-20260317100319
2026-03-17T10:03:21.272926+05:30,INFY,NSE,SELL,4,0,MIS,1292.83,1134.26,1.5,Bear,-0.4784,0.62,4917.6,0.0492,paper,PAPER-20260317100321
2026-03-17T10:03:26.219247+05:30,HCLTECH,NSE,SELL,3,0,MIS,1380.33,1210.01,1.5,Bear,-0.4671,0.62,3936.6,0.0394,paper,PAPER-20260317100326
2026-03-17T10:03:29.360859+05:30,KOTAKBANK,NSE,SELL,13,0,MIS,389.4,343.9,1.5,Bear,-0.4042,0.62,4825.6,0.0483,paper,PAPER-20260317100329
2026-03-17T10:03:33.396742+05:30,WIPRO,NSE,SELL,26,0,MIS,201.31,175.91,1.5,Bear,-0.4963,0.62,4969.9,0.0497,paper,PAPER-20260317100333
2026-03-17T10:03:40.352337+05:30,TECHM,NSE,SELL,3,0,MIS,1402.2,1219.2,1.5,Bear,-0.5271,0.62,3987.0,0.0399,paper,PAPER-20260317100340
2026-03-17T10:03:45.917515+05:30,BPCL,NSE,SELL,16,0,MIS,328.69,261.22,1.5,Bear,-0.4267,0.75,4827.2,0.0483,paper,PAPER-20260317100345
2026-03-17T10:03:54.292573+05:30,BAJAJFINSV,NSE,SELL,2,0,MIS,1865.07,1613.89,1.5,Bear,-0.4145,0.62,3529.2,0.0353,paper,PAPER-20260317100354
2026-03-17T10:09:02.003726+05:30,TCS,NSE,SELL,2,0,MIS,2492.5,2206.5,1.5,Bear,-0.5922,0.75,4756.2,0.0476,paper,PAPER-20260317100902
2026-03-17T10:09:03.640410+05:30,INFY,NSE,SELL,4,0,MIS,1290.53,1131.96,1.5,Bear,-0.4505,0.62,4908.4,0.0491,paper,PAPER-20260317100903
2026-03-17T10:09:09.228315+05:30,HCLTECH,NSE,SELL,3,0,MIS,1380.63,1210.31,1.5,Bear,-0.467,0.62,3937.5,0.0394,paper,PAPER-20260317100909
2026-03-17T10:09:12.783989+05:30,KOTAKBANK,NSE,SELL,13,0,MIS,390.35,344.85,1.5,Bear,-0.4004,0.62,4837.95,0.0484,paper,PAPER-20260317100912
2026-03-17T10:09:17.218574+05:30,WIPRO,NSE,SELL,26,0,MIS,200.97,175.57,1.5,Bear,-0.4973,0.62,4961.06,0.0496,paper,PAPER-20260317100917
2026-03-17T10:09:25.254145+05:30,TECHM,NSE,SELL,3,0,MIS,1403.1,1220.1,1.5,Bear,-0.5261,0.62,3989.7,0.0399,paper,PAPER-20260317100925
2026-03-17T10:09:27.345604+05:30,CIPLA,NSE,SELL,3,0,MIS,1344.07,1218.89,1.5,Bear,-0.4006,0.75,3882.0,0.0388,paper,PAPER-20260317100927
2026-03-17T10:09:29.951920+05:30,BPCL,NSE,SELL,16,0,MIS,328.14,260.67,1.5,Bear,-0.4287,0.75,4818.4,0.0482,paper,PAPER-20260317100929
2026-03-17T10:09:39.289239+05:30,BAJAJFINSV,NSE,SELL,2,0,MIS,1866.77,1615.59,1.5,Bear,-0.4129,0.62,3532.6,0.0353,paper,PAPER-20260317100939
2026-03-17T10:14:48.826439+05:30,TCS,NSE,SELL,2,0,MIS,2493.8,2207.8,1.5,Bear,-0.5917,0.75,4758.8,0.0476,paper,PAPER-20260317101448
2026-03-17T10:14:50.429549+05:30,INFY,NSE,SELL,4,0,MIS,1293.33,1134.76,1.5,Bear,-0.478,0.62,4919.6,0.0492,paper,PAPER-20260317101450
2026-03-17T10:14:54.428099+05:30,HCLTECH,NSE,SELL,3,0,MIS,1384.73,1214.41,1.5,Bear,-0.4643,0.62,3949.8,0.0395,paper,PAPER-20260317101454
2026-03-17T10:15:00.468109+05:30,WIPRO,NSE,SELL,26,0,MIS,201.16,175.76,1.5,Bear,-0.4968,0.62,4966.0,0.0497,paper,PAPER-20260317101500
2026-03-17T10:15:11.598486+05:30,TECHM,NSE,SELL,3,0,MIS,1408.5,1225.5,1.5,Bear,-0.4241,0.62,4005.9,0.0401,paper,PAPER-20260317101511
